avatar_address,season_id,initialized_score,score,total_win,total_lose,created_at,updated_at
005e571b6c850e38874e5b8ac0a24fe46f315dea,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
00b6a82fd0fbd4a7702519872540b81615966ad0,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
00c60afda147837818c2c943214b098803ad09f0,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
00c6e69776662f4d8637dece8a8aec1c1e24aaaa,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
015ad088da6913c37cd01bc8e704008abc54a985,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
017c1a566e21094091ceb6c2866e9b533f4c1f90,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
0181b81003499844e22b6565f01d73e42c8a29fa,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
01ae7e31a99863001d5033d247ec200202d3951c,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
01f544790188d6a6ba4122aa36adeddd45f36601,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
0201e8abd19ef8a1d8c5107a589c09f84fe61a88,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
0256c5830514a8c9a730f5a9b30d587c64bb5e88,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
02c6c32885f2fd8a578382e6c7d053f8f4e6dab4,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
0301744fac36f7e96f09ecc1d3e92cc842289c2b,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
03071404194e2c2887c752945b556d830d68d1f7,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
0330f9bf675da003fd4d74dbaad8d6b068adb8f7,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
03477972e857ea57d0aea29964114c1bcfdcdf99,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
035ed28392eb812a814852296640ac20f5a88880,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
03a08c7ab980cb5493cfd2759b43ca67db3ff7ba,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
03baa7571508a1ca67d6d4de82a131e8dc04ed99,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
0452fb65c44e0eef22ea63d60251a538ea3c6d20,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
049e5206ba95434b7d59ac240e4f4ff023b3c8c0,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
04ceccb3ea2e2dc501967936d85f137ce6d82b3f,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
04d0dd65560554e6759fc57a9541e5c96b24d06f,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
04d48fd7ec0f17d2166528bc523fdb7048317604,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
04dd82f88f7c67e3792b13966ebb3ec848f7631a,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
05224f6401574a75199eb7d38380402280e9047a,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
0527c6fc24b7bba4bce88ef16f141e7d61f58bf9,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
054cf2fec0b597bf1bbc62524a2a02f58e73c7c5,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
05583494c1e9bcb31138269e2aa1d4e1326c464e,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
056f8946ac73667d5e693bf59853281e4090a07c,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
057137003ea9d1a2fa39b245f22e3d3d7f2053b6,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
058fc0df20a649716c67f8af1ef373682de5a175,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
05d81f1fa0e192ee77133700f720856aa13c7483,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
05f3dcf58ebe004d0eea0be2bdf752c7e50186cf,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
060071abd91c757962436251b8ee40250de19c6b,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
0662f8344d708ba269028f321b72de5a046bb0de,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
0685400b0b8432a9b16ecc6e7fe539c9ff2b4a45,3,1000,1000,0,0,2025-03-19 06:15:15.218323+00,2025-03-19 06:15:15.218323+00
