avatar_address,agent_address,name_with_hash,portrait_id,cp,level,clan_id,created_at,updated_at
005e571b6c850e38874e5b8ac0a24fe46f315dea,005e571b6c850e38874e5b8ac0a24fe46f315dea,PinkBeauty <size=80%><color=#A68F7E>#005E</color></size>,40100042,1947451,356,,2025-03-19 06:09:09.908554+00,2025-03-19 06:09:09.908554+00
00b6a82fd0fbd4a7702519872540b81615966ad0,00b6a82fd0fbd4a7702519872540b81615966ad0,don <size=80%><color=#A68F7E>#00b6</color></size>,40100042,7113030,381,,2025-03-19 06:09:09.908554+00,2025-03-19 06:09:09.908554+00
00c60afda147837818c2c943214b098803ad09f0,00c60afda147837818c2c943214b098803ad09f0,Julienzo18 <size=80%><color=#A68F7E>#00C6</color></size>,40100043,3165816,368,,2025-03-19 06:09:09.908554+00,2025-03-19 06:09:09.908554+00
00c6e69776662f4d8637dece8a8aec1c1e24aaaa,00c6e69776662f4d8637dece8a8aec1c1e24aaaa,Blue84 <size=80%><color=#A68F7E>#00c6</color></size>,40100043,1693324,329,,2025-03-19 06:09:09.908554+00,2025-03-19 06:09:09.908554+00
015ad088da6913c37cd01bc8e704008abc54a985,015ad088da6913c37cd01bc8e704008abc54a985,RugHeimdall <size=80%><color=#A68F7E>#015A</color></size>,40100042,865257,332,,2025-03-19 06:09:09.908554+00,2025-03-19 06:09:09.908554+00
017c1a566e21094091ceb6c2866e9b533f4c1f90,017c1a566e21094091ceb6c2866e9b533f4c1f90,OSi <size=80%><color=#A68F7E>#017c</color></size>,40100042,5736166,389,,2025-03-19 06:09:09.908554+00,2025-03-19 06:09:09.908554+00
0181b81003499844e22b6565f01d73e42c8a29fa,0181b81003499844e22b6565f01d73e42c8a29fa,DrSyner <size=80%><color=#A68F7E>#0181</color></size>,40100042,6331463,385,,2025-03-19 06:09:09.908554+00,2025-03-19 06:09:09.908554+00
01ae7e31a99863001d5033d247ec200202d3951c,01ae7e31a99863001d5033d247ec200202d3951c,reckjoz <size=80%><color=#A68F7E>#01aE</color></size>,40100042,1056547,329,,2025-03-19 06:09:09.908554+00,2025-03-19 06:09:09.908554+00
01f544790188d6a6ba4122aa36adeddd45f36601,01f544790188d6a6ba4122aa36adeddd45f36601,bondanrevo <size=80%><color=#A68F7E>#01f5</color></size>,40100042,1042415,327,,2025-03-19 06:09:09.908554+00,2025-03-19 06:09:09.908554+00
0201e8abd19ef8a1d8c5107a589c09f84fe61a88,0201e8abd19ef8a1d8c5107a589c09f84fe61a88,Lexus <size=80%><color=#A68F7E>#0201</color></size>,40100042,3425656,393,,2025-03-19 06:09:09.908554+00,2025-03-19 06:09:09.908554+00
0256c5830514a8c9a730f5a9b30d587c64bb5e88,0256c5830514a8c9a730f5a9b30d587c64bb5e88,BelaSilv <size=80%><color=#A68F7E>#0256</color></size>,40100043,519091,242,,2025-03-19 06:09:09.908554+00,2025-03-19 06:09:09.908554+00
02c6c32885f2fd8a578382e6c7d053f8f4e6dab4,02c6c32885f2fd8a578382e6c7d053f8f4e6dab4,alisba <size=80%><color=#A68F7E>#02C6</color></size>,40100042,1681722,361,,2025-03-19 06:09:09.908554+00,2025-03-19 06:09:09.908554+00
0301744fac36f7e96f09ecc1d3e92cc842289c2b,0301744fac36f7e96f09ecc1d3e92cc842289c2b,Aeb <size=80%><color=#A68F7E>#0301</color></size>,10242000,769314,293,,2025-03-19 06:09:09.908554+00,2025-03-19 06:09:09.908554+00
03071404194e2c2887c752945b556d830d68d1f7,03071404194e2c2887c752945b556d830d68d1f7,Niihsan <size=80%><color=#A68F7E>#0307</color></size>,40100042,3521279,385,,2025-03-19 06:09:09.908554+00,2025-03-19 06:09:09.908554+00
0330f9bf675da003fd4d74dbaad8d6b068adb8f7,0330f9bf675da003fd4d74dbaad8d6b068adb8f7,ROYAL <size=80%><color=#A68F7E>#0330</color></size>,10254001,986943,332,,2025-03-19 06:09:09.908554+00,2025-03-19 06:09:09.908554+00
03477972e857ea57d0aea29964114c1bcfdcdf99,03477972e857ea57d0aea29964114c1bcfdcdf99,Tdeco <size=80%><color=#A68F7E>#0347</color></size>,40100042,576177,320,,2025-03-19 06:09:09.908554+00,2025-03-19 06:09:09.908554+00
035ed28392eb812a814852296640ac20f5a88880,035ed28392eb812a814852296640ac20f5a88880,TajiroKamado <size=80%><color=#A68F7E>#035e</color></size>,10251001,850761,320,,2025-03-19 06:09:09.908554+00,2025-03-19 06:09:09.908554+00
03a08c7ab980cb5493cfd2759b43ca67db3ff7ba,03a08c7ab980cb5493cfd2759b43ca67db3ff7ba,YinYangDe <size=80%><color=#A68F7E>#03A0</color></size>,40100042,2459854,386,,2025-03-19 06:09:09.908554+00,2025-03-19 06:09:09.908554+00
